scenario,shape,count,diameter,noise_level,seed,engine,status,cold_ms,steady_mean_ms,steady_min_ms,steady_max_ms,steady_std_ms,features,speedup_vs_python,speedup_vs_numba
iso_baseline,"(128, 128, 64)",200,"(9, 9, 9)",20,42,numba,ok,1092.9990659933537,145.9231637767516,144.13587795570493,150.79774596961215,2.522458778541653,249,,1.0
iso_baseline,"(128, 128, 64)",200,"(9, 9, 9)",20,42,cupy,ok,4941.956066992134,40.86203740444034,36.68605099665001,44.68874103622511,3.1005221885029464,241,,3.5711181587067564
iso_dense,"(128, 128, 64)",500,"(9, 9, 9)",20,43,numba,ok,1165.275780018419,140.9630415844731,138.92639998812228,146.41622902126983,2.8267132247983393,248,,1.0
iso_dense,"(128, 128, 64)",500,"(9, 9, 9)",20,43,cupy,ok,473.30904903355986,36.207180400379,35.9991230070591,36.42157698050141,0.1384887548789926,238,,3.893234436531754
aniso_baseline,"(128, 128, 64)",200,"(7, 9, 9)",20,44,numba,ok,1132.4923589709215,140.07976859575137,138.68515996728092,142.18342502135783,1.651294810315815,296,,1.0
aniso_baseline,"(128, 128, 64)",200,"(7, 9, 9)",20,44,cupy,ok,480.11636902811006,35.15891641145572,34.80327798752114,35.380496992729604,0.19819543762781833,290,,3.9841890164200175
iso_large,"(192, 192, 96)",500,"(9, 9, 9)",20,45,numba,ok,1513.663624995388,514.949662599247,512.1701049502008,518.1958620087244,2.0957999191178045,875,,1.0
iso_large,"(192, 192, 96)",500,"(9, 9, 9)",20,45,cupy,ok,570.45644702157,101.86736339237541,101.4839630224742,102.14039700804278,0.2201504036299183,858,,5.05509954759259
