scenario,shape,count,diameter,noise_level,seed,engine,status,cold_ms,steady_mean_ms,steady_min_ms,steady_max_ms,steady_std_ms,features,speedup_vs_python,speedup_vs_numba
iso_baseline,"(128, 128, 64)",200,"(9, 9, 9)",20,42,numba,ok,1099.5223480276763,141.92088360432535,140.92912600608543,143.50042399019003,0.9853839427054724,249,,1.0
iso_baseline,"(128, 128, 64)",200,"(9, 9, 9)",20,42,cupy,ok,9825.852625013795,735.5744739994407,733.8044790085405,737.0096849626862,1.2682982205872464,241,,0.19293883708698853
iso_dense,"(128, 128, 64)",500,"(9, 9, 9)",20,43,numba,ok,1130.392615974415,142.2497821971774,137.4988789903,146.9329529791139,3.8677206879204804,248,,1.0
iso_dense,"(128, 128, 64)",500,"(9, 9, 9)",20,43,cupy,ok,1268.8687010086142,740.4919610009529,735.8916189987212,747.3214989877306,3.8605636936871353,238,,0.19210172383896326
aniso_baseline,"(128, 128, 64)",200,"(7, 9, 9)",20,44,numba,ok,1104.0890719741583,138.1298084044829,137.62930600205436,139.35028499690816,0.6252622772690334,296,,1.0
aniso_baseline,"(128, 128, 64)",200,"(7, 9, 9)",20,44,cupy,ok,1573.9592690370046,1114.7514328127727,1099.708856025245,1122.6075480226427,8.732314418964618,290,,0.12391085971152314
iso_large,"(192, 192, 96)",500,"(9, 9, 9)",20,45,numba,ok,1489.880649955012,521.716903813649,515.4998879879713,536.1865050508641,7.442937142559484,875,,1.0
iso_large,"(192, 192, 96)",500,"(9, 9, 9)",20,45,cupy,ok,3282.4224199866876,2629.9340287805535,2623.8930439576507,2636.5384410019033,5.518895379896379,856,,0.19837642241374337
