scenario,ref_engine,engine,status,ref_features,target_features,matched,match_ratio_ref,rmse_xyz,mae_z,mae_y,mae_x,mass_mare,signal_mare,raw_mass_mare,size_mare,size_z_mare,size_y_mare,size_x_mare
smoke_iso,python,python,ok,23,23,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
smoke_iso,python,cupy,ok,23,3,3,0.13043478260869565,0.003476426173978234,0.0020860148673029024,0.0005700347013449422,0.0019529129571201527,0.025242868339548922,0.008625444939514096,0.0,0.002869960297740852,,,
